Prüfungsbogen;Position im Bogen;Fragenkatalog-Nr.;Kategorie;Frage;Zusatztext;Antwort A;Antwort B;Antwort C;Antwort D;Richtige Antwort;Richtige Antwort (Text);Bilddateien im ZIP;Bild-URLs;Tags;Quelle
13;8;85;Vorschriften & Gesetze;Welche Vorschriften regeln die Ausrüstung, Anordnung und Anbringung der Positionslaternen, Sichtzeichen und Schallsignalanlagen auf Fahrzeugen?;;Die Kollisionsverhütungsregeln (KVR), die Seeschifffahrtsstraßen-Ordnung (SeeSchStrO) und die Schifffahrtsordnung Emsmündung (EmsSchO).;Die Kollisionsverhütungsregeln (KVR), die Seeschifffahrtsstraßen-Ordnung (SeeSchStrO) und die Verordnung zur Sicherung der Seefahrt.;Die Kollisionsverhütungsregeln (KVR), die Seeschifffahrtsstraßen-Ordnung (SeeSchStrO) und die Schiffssicherheitsverordnung.;Die Kollisionsverhütungsregeln (KVR), die Seeschifffahrtsstraßen-Ordnung (SeeSchStrO) und die Sportbootführerscheinverordnung.;A;Die Kollisionsverhütungsregeln (KVR), die Seeschifffahrtsstraßen-Ordnung (SeeSchStrO) und die Schifffahrtsordnung Emsmündung (EmsSchO).;;;"Spezifische Fragen See;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/13
13;9;102;Lichterführung & Signalkörper;Welches Fahrzeug führt diese Lichter?;;Ein manövrierunfähiges Fahrzeug in Fahrt.;Ein fischendes Fahrzeug in Fahrt.;Ein manövrierbehindertes Fahrzeug in Fahrt.;Ein Grundsitzer von weniger als 50 m Länge.;C;Ein manövrierbehindertes Fahrzeug in Fahrt.;bilder/spezifische_fragen_see_Lichter-Frage-102-gif.png;https://www.bootsfuehrerscheinpruefung.de/images/sbfsee/katalog/spezifische_fragen_see_Lichter-Frage-102-gif.png;"Spezifische Fragen See;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/13
13;10;110;Lichterführung & Signalkörper;Welches Fahrzeug muss diese Lichter führen?;;Ein fischendes Fahrzeug in Fahrt, das nicht trawlt, z. B. Treibnetzfischer.;Ein Behördenfahrzeug im Einsatz.;Ein manövrierbehindertes Fahrzeug in Fahrt.;Ein fischender Trawler (Fischereifahrzeug) mit Fahrt durch das Wasser von 50 und mehr Meter Länge.;D;Ein fischender Trawler (Fischereifahrzeug) mit Fahrt durch das Wasser von 50 und mehr Meter Länge.;bilder/spezifische_fragen_see_Lichter-Frage-110-gif.png;https://www.bootsfuehrerscheinpruefung.de/images/sbfsee/katalog/spezifische_fragen_see_Lichter-Frage-110-gif.png;"Spezifische Fragen See;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/13
13;11;125;Sicherheit;Woran kann man feststellen, ob die Möglichkeit der Gefahr eines Zusammenstoßes besteht?;;Wenn sich der Abstand zum anderen Fahrzeug verringert und sich die Kompasspeilung ändert.;Wenn sich der Abstand zum anderen Fahrzeug verringert und sich der Kurs ändert.;Wenn sich der Abstand zum anderen Fahrzeug verringert und sich die Peilung nicht oder nicht merklich ändert.;Wenn sich der Abstand zum anderen Fahrzeug verringert und sich der Kurs nicht oder nicht merklich ändert.;C;Wenn sich der Abstand zum anderen Fahrzeug verringert und sich die Peilung nicht oder nicht merklich ändert.;;;"Spezifische Fragen See;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/13
13;12;136;Verkehrsvorschriften;Wie muss sich ein Ausweichpflichtiger gegenüber einem Kurshalter verhalten?;;Das Ausweichmanöver muss frühzeitig, durchgreifend und klar erkennbar durchgeführt werden.;"Die Fahrt ist auf das für die Steuerfähigkeit erforderliche Mindestmaß zu reduzieren; im Zweifelsfall muss ganz aufgestoppt werden.";Das Manöver des letzten Augenblicks ist durchzuführen. Es muss so ausgewichen werden, wie es zur Vermeidung eines Zusammenstoßes am dienlichsten ist.;Der Kurs muss bei Annäherung an den Kurshalter Schritt für Schritt so angepasst werden, dass das Heck des Anderen sicher umfahren wird.;A;Das Ausweichmanöver muss frühzeitig, durchgreifend und klar erkennbar durchgeführt werden.;;;"Spezifische Fragen See;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/13
13;13;137;Verkehrsvorschriften;Wie hat sich ein überholendes Fahrzeug zu verhalten?;;Es hat dem zu überholenden Fahrzeug auszuweichen.;Es muss vor dem Überholen ein Schallsignal abgeben, um die Zustimmung des zu überholenden Fahrzeugs einzuholen.;Es muss den größtmöglichen Abstand zum überholten Fahrzeug einhalten und Sog und Wellenschlag vermeiden.;Es darf die sichere Durchfahrt des zu überholenden Fahrzeugs nicht behindern.;A;Es hat dem zu überholenden Fahrzeug auszuweichen.;;;"Spezifische Fragen See;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/13
13;14;141;Signale;Welche Bedeutung hat folgendes Schallsignal:;;"Schutzbedürftige Anlage; Geschwindigkeit reduzieren, Sog und Wellenschlag vermeiden.";Maschinenfahrzeug, das seine Maschinen gestoppt hat und keine Fahrt durchs Wasser macht.;Die Maschine des Fahrzeugs läuft rückwärts.;Ein Ankerlieger macht ein sich näherndes Fahrzeug auf eine gefährliche Annäherung aufmerksam.;D;Ein Ankerlieger macht ein sich näherndes Fahrzeug auf eine gefährliche Annäherung aufmerksam.;bilder/spezifische_fragen_see_Schallsignal-d-Frage-120-gif.png;https://www.bootsfuehrerscheinpruefung.de/images/sbfsee/katalog/spezifische_fragen_see_Schallsignal-d-Frage-120-gif.png;"Spezifische Fragen See;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/13
13;15;145;Verkehrsvorschriften;Wie hat sich ein Maschinenfahrzeug bei Kollisionsgefahr in einem Einbahnweg eines Verkehrstrennungsgebietes gegenüber einem Maschinenfahrzeug zu verhalten, das den Einbahnweg von Steuerbord kommend quert?;;Es muss dem anderen Fahrzeug ausweichen.;Es muss das Manöver des letzten Augenblicks durchführen.;Es darf die sichere Durchfahrt des Maschinenfahrzeugs nicht behindern.;Dem querenden Fahrzeug hat es besondere Aufmerksamkeit zu widmen.;A;Es muss dem anderen Fahrzeug ausweichen.;;;"Spezifische Fragen See;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/13
13;16;161;Signale;Welches Schallsignal ist beim Einlaufen in Fahrwasser und Häfen zu geben, wenn die Verkehrslage es erfordert?;;Ein langer und ein kurzer Ton.;Ein kurzer Ton.;Ein kurzer und ein langer Ton.;Ein langer Ton.;D;Ein langer Ton.;;;"Spezifische Fragen See;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/13
13;17;168;Vorschriften & Gesetze;Wo ist das Überholen verboten?;;An Engstellen, unübersichtlichen Krümmungen, in Schleusenbereichen, innerhalb durch Überholverbotszeichen gekennzeichneter Strecken, in der Nähe nicht frei fahrender Fähren in Fahrt und außerhalb des Fahrwassers.;An Engstellen, unübersichtlichen Krümmungen, in Schleusenbereichen, innerhalb durch Überholverbotszeichen gekennzeichneter Strecken, in der Nähe nicht frei fahrender Fähren in Fahrt, und in Verkehrstrennungsgebieten.;An Engstellen, unübersichtlichen Krümmungen, innerhalb durch Überholverbotszeichen gekennzeichneter Strecken und in Nationalparks und besonders ausgewiesenen Naturschutzgebieten.;An Engstellen, unübersichtlichen Krümmungen, in Schleusenbereichen, innerhalb durch Überholverbotszeichen gekennzeichneter Strecken, in der Nähe nicht frei fahrender Fähren in Fahrt.;D;An Engstellen, unübersichtlichen Krümmungen, in Schleusenbereichen, innerhalb durch Überholverbotszeichen gekennzeichneter Strecken, in der Nähe nicht frei fahrender Fähren in Fahrt.;;;"Spezifische Fragen See;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/13
13;18;180;Schifffahrtszeichen;Welche Bedeutung hat folgendes Schifffahrtszeichen?;;Einzelgefahrenstelle, erkennbar an ihrer Farbgebung, die an allen Seiten mit einer maximalen Geschwindigkeit von 4,3 Knoten passiert werden kann.;Höchstgeschwindigkeit von 4,3 Knoten Fahrt durch das Wasser, die innerhalb von 500 m von der jeweiligen Uferlinie wegen Badebetriebs nicht überschritten werden darf.;Gesperrt für alle Maschinenfahrzeuge und Wassermotorräder wegen Badebetriebs.;Kennzeichnung besonderer Gebiete und Stellen, z. B. Warngebiet.;C;Gesperrt für alle Maschinenfahrzeuge und Wassermotorräder wegen Badebetriebs.;bilder/spezifische_fragen_see_Gebotszeichen-A17aa-gif.png;https://www.bootsfuehrerscheinpruefung.de/images/sbfsee/katalog/spezifische_fragen_see_Gebotszeichen-A17aa-gif.png;"Spezifische Fragen See;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/13
13;19;193;Schifffahrtszeichen;Welche Bedeutung hat folgende(s) Tonne/Schifffahrtszeichen?;;Die Backbordseite des Fahrwassers.;Die Steuerbordseite des Fahrwassers.;Die Mitte eines Schifffahrtsweges.;Die Kennzeichnung von Hindernissen.;B;Die Steuerbordseite des Fahrwassers.;bilder/spezifische_fragen_see_Schifffahrtszeichen-Frage-193-gif.png;https://www.bootsfuehrerscheinpruefung.de/images/sbfsee/katalog/spezifische_fragen_see_Schifffahrtszeichen-Frage-193-gif.png;"Spezifische Fragen See;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/13
13;20;196;Schifffahrtszeichen;Welche Bedeutung hat folgende Tonne?;;Steuerbordseite des durchgehenden Fahrwassers, Backbordseite des abzweigenden oder einmündenden Fahrwassers.;Backbordseite des durchgehenden Fahrwassers, Steuerbordseite des abzweigenden oder einmündenden Fahrwassers.;Steuerbordseite des durchgehenden Fahrwassers.;Backbordseite des durchgehenden Fahrwassers.;B;Backbordseite des durchgehenden Fahrwassers, Steuerbordseite des abzweigenden oder einmündenden Fahrwassers.;bilder/spezifische_fragen_see_Tonne-Frage-196-gif.png;https://www.bootsfuehrerscheinpruefung.de/images/sbfsee/katalog/spezifische_fragen_see_Tonne-Frage-196-gif.png;"Spezifische Fragen See;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/13
13;21;206;Schifffahrtszeichen;Welche Bedeutung hat das Feuer einer Leuchttonne mit folgender Kennung?;;Kennzeichnung einer allgemeinen Gefahrenstelle, Nordquadrant.;Kennzeichnung einer allgemeinen Gefahrenstelle, Ostquadrant.;Kennzeichnung einer allgemeinen Gefahrenstelle, Südquadrant.;Kennzeichnung einer allgemeinen Gefahrenstelle, Westquadrant.;C;Kennzeichnung einer allgemeinen Gefahrenstelle, Südquadrant.;bilder/spezifische_fragen_see_Feuer-Frage-206-gif.png;https://www.bootsfuehrerscheinpruefung.de/images/sbfsee/katalog/spezifische_fragen_see_Feuer-Frage-206-gif.png;"Spezifische Fragen See;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/13
13;22;212;Schifffahrtszeichen;Was versteht man unter einem Richtfeuer?;;Sektorenfeuer, das ein Fahrwasser bezeichnet.;Sektorenfeuer, das auf eine Kursänderung im Fahrwasser hinweist.;Ober- und Unterfeuer, die in Deckung zu bringen sind.;Ober- und Unterfeuer mit unterschiedlichen Farbsektoren.;C;Ober- und Unterfeuer, die in Deckung zu bringen sind.;;;"Spezifische Fragen See;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/13
13;23;217;Umwelt- & Naturschutz;Wo findet man auszugsweise Hinweise zu Befahrensmöglichkeiten der Naturschutzgebiete in Küstengewässern?;;In den Kollisionsverhütungsregeln.;In Seekarten und Sportschifffahrtskarten des Bundesamtes für Seeschifffahrt und Hydrographie.;In der Seeschifffahrtsstraßen-Ordnung.;Im Bundesnaturschutzgesetz.;B;In Seekarten und Sportschifffahrtskarten des Bundesamtes für Seeschifffahrt und Hydrographie.;;;"Spezifische Fragen See;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/13
13;24;228;Umwelt- & Naturschutz;Was verstehen Sie gemäß Nordsee-Befahrens-Verordnung (NordSBefV) unter Schnellfahrkorridore?;;Wasserflächen zum Starten und Landen von Wasserflugzeugen.;Ausgewiesene Wasserflächen für bestimmte Sportbootverkehre.;Ausgewiesene Wasserflächen für den gewerblichen Verkehr.;Wasserflächen, von denen Taucher 500 m Abstand halten müssen.;C;Ausgewiesene Wasserflächen für den gewerblichen Verkehr.;;;"Spezifische Fragen See;August-2023";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/13
13;25;233;Vorschriften & Gesetze;Welchen Effekt können Wind und gegenläufiger Tidenstrom im Bereich von Seegaten haben?;;Der Tidenstrom wird durch den Wind verstärkt.;Steile und aufbäumende Seen (Brecher).;Der Tidenstrom glättet die Windsee.;Keinen.;B;Steile und aufbäumende Seen (Brecher).;;;"Spezifische Fragen See;August-2023";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/13
13;26;248;Navigation;Was ist bei der Aufstellung eines Magnetkompasses an Bord zu beachten?;;Der Kompass muss parallel zur Kiellinie verlaufen. Der Kompass muss gut ablesbare Zahlen aufweisen und darf nicht in der Nähe von Eisenteilen aufgestellt werden.;Der Kompass muss parallel zur Kiellinie verlaufen. Der Kompass muss gut ablesbar sein und darf nicht in der Nähe von Eisenteilen aufgestellt werden.;Der Steuerstrich muss parallel zur Kiellinie verlaufen. Der Kompass muss gut ablesbare Zahlen aufweisen und darf nicht in der Nähe von Eisenteilen aufgestellt werden.;Der Steuerstrich muss parallel zur Kiellinie verlaufen. Der Kompass muss gut ablesbar sein und darf nicht in der Nähe von Eisenteilen aufgestellt werden.;D;Der Steuerstrich muss parallel zur Kiellinie verlaufen. Der Kompass muss gut ablesbar sein und darf nicht in der Nähe von Eisenteilen aufgestellt werden.;;;"Spezifische Fragen See;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/13
13;27;251;Wetter;Was versteht man unter einer Tide?;;Der Zeitraum zwischen einem Niedrigwasser und dem nächstfolgenden Niedrigwasser.;Der Zeitraum zwischen einem Hochwasser und dem nächstfolgenden Hochwasser.;Der Zeitraum zwischen einem Hochwasser und dem nächstfolgenden Niedrigwasser.;Der Zeitraum zwischen einem Niedrigwasser und dem nächstfolgenden Hochwasser.;A;Der Zeitraum zwischen einem Niedrigwasser und dem nächstfolgenden Niedrigwasser.;;;"Spezifische Fragen See;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/13
13;28;258;Sicherheit;Womit kann ein steuerunfähiges Sportboot mit dem Bug in den Wind gehalten werden?;;Mit vorn und achtern ausgebrachten Treibankern oder anderen geeigneten schwimmfähigen Gegenständen.;Mit dem Treibanker oder anderen geeigneten schwimmfähigen Gegenständen.;Durch wiederholtes kurzes Ein- und Auskuppeln der Antriebsmaschine.;Mit achteraus ausgebrachtem Treibanker oder ähnlichen schwimmfähigen Gegenständen.;B;Mit dem Treibanker oder anderen geeigneten schwimmfähigen Gegenständen.;;;"Spezifische Fragen See;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/13
13;29;267;Wetter;Für welche Windstärken wird eine Starkwindwarnung herausgegeben?;;Windstärke 4 bis 5 der Beaufortskala.;Windstärke 5 und 6 der Beaufortskala.;Windstärke 6 und 7 der Beaufortskala.;Windstärke 7 bis 8 der Beaufortskala.;C;Windstärke 6 und 7 der Beaufortskala.;;;"Spezifische Fragen See;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/13
13;30;275;Sicherheit;Welche Sicherheitsmaßnahmen sind auf See vor Eintritt von schwerem Wetter (Starkwind, Sturm) zu treffen?;;Verschlusszustand herbeiführen, lose Gegenstände festzurren, Rettungsweste und andere Rettungsmittel bereithalten, Seenotsignalmittel zum Einsatz vorbereiten.;Türen schließen, lose Gegenstände festzurren, Rettungsweste und andere Rettungsmittel bereithalten, Radar, Ruder und UKW besetzen.;Türen schließen, lose Gegenstände festzurren, Rettungsweste und andere Rettungsmittel bereithalten, Seenotsignalmittel zum Einsatz vorbereiten.;"Verschlusszustand herbeiführen, lose Gegenstände festzurren, Rettungsweste anlegen und andere Rettungsmittel bereithalten; wenn erforderlich und möglich Schutzhafen anlaufen.";D;"Verschlusszustand herbeiführen, lose Gegenstände festzurren, Rettungsweste anlegen und andere Rettungsmittel bereithalten; wenn erforderlich und möglich Schutzhafen anlaufen.";;;"Spezifische Fragen See;August-2023";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/13
14;1;10;Lichterführung & Signalkörper;Wann müssen die Lichter von Fahrzeugen geführt oder gezeigt werden?;;Von abends 18:00 Uhr bis morgens 06:00 Uhr und bei verminderter Sicht.;Bei Dunkelheit, schlechtem Wetter und verminderter Sicht.;Von Sonnenuntergang bis Sonnenaufgang und bei verminderter Sicht.;Von Sonnenaufgang bis Sonnenuntergang und bei verminderter Sicht.;C;Von Sonnenuntergang bis Sonnenaufgang und bei verminderter Sicht.;;;"Basisfragen;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/14
14;2;15;Verkehrsvorschriften;Zwei Motorboote nähern sich auf kreuzenden Kursen. Es besteht die Gefahr eines Zusammenstoßes. Wer ist ausweichpflichtig?;;Es muss das leewärtige Fahrzeug dem luvwärtigen Fahrzeug ausweichen.;Es muss das luvwärtige Fahrzeug dem leewärtigen Fahrzeug ausweichen.;Dasjenige Fahrzeug muss ausweichen, welches das Andere an seiner Backbordseite hat.;Dasjenige Fahrzeug muss ausweichen, welches das Andere an seiner Steuerbordseite hat.;D;Dasjenige Fahrzeug muss ausweichen, welches das Andere an seiner Steuerbordseite hat.;;;"Basisfragen;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/14
14;3;20;Schifffahrtszeichen;Welche Bedeutung hat folgendes Tafelzeichen?;;Verengung des Fahrwassers auf 40 m.;Mindestabstand in Metern, der in der nachfolgenden Strecke vom Aufstellungsort der Tafel an eingehalten werden muss.;Maximalgeschwindigkeit in km/h, die auf der in Fahrtrichtung rechten Fahrwasserseite nicht überschritten werden darf.;Maximalabstand in Metern, der in der nachfolgenden Strecke vom Aufstellungsort der Tafel an eingehalten werden muss.;B;Mindestabstand in Metern, der in der nachfolgenden Strecke vom Aufstellungsort der Tafel an eingehalten werden muss.;bilder/basisfragen_Einschraenkungszeichen-C5-gif.png;https://www.bootsfuehrerscheinpruefung.de/images/sbfsee/katalog/basisfragen_Einschraenkungszeichen-C5-gif.png;"Basisfragen;2017-06-01;Schilder und Sichtzeichen";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/14
14;4;33;Umwelt- & Naturschutz;Warum sollte man sich von Schilf- und Röhrichtzonen sowie von dicht bewachsenen Uferzonen möglichst weit fernhalten?;;Weil durch die Pflanzen der Propeller blockiert werden könnte.;Weil in diesen Zonen die Gefahr von Grundberührungen besteht.;Weil in diesen Zonen badende Personen schwer zu erkennen sind.;Weil diese Zonen vielfach Rast- und Brutplätze besonders schutzwürdiger Vögel oder Fischlaichplätze sind.;D;Weil diese Zonen vielfach Rast- und Brutplätze besonders schutzwürdiger Vögel oder Fischlaichplätze sind.;;;"Basisfragen;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/14
14;5;46;Grundlagen;Was ist unter der indirekten Ruderwirkung (Radeffekt) des Propellers zu verstehen?;;Das Versetzen nach vorne.;Das seitliche Versetzen des Bugs.;Das seitliche Versetzen des Hecks.;Das Versetzen nach hinten.;C;Das seitliche Versetzen des Hecks.;;;"Basisfragen;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/14
14;6;68;Sicherheit;Welcher Feuerlöscher ist für Sportboote zweckmäßig und wie oft muss man einen Feuerlöscher überprüfen lassen?;;Feuerlöscher mit Löschschaum, mindestens einmal pro Jahr.;ABC-Pulverlöscher, mindestens einmal pro Jahr.;ABC-Pulver- und Schaumlöscher, mindestens alle 2 Jahre.;CO2-Feuerlöscher, mindestens alle 2 Jahre.;C;ABC-Pulver- und Schaumlöscher, mindestens alle 2 Jahre.;;;"Basisfragen;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/14
